request_id,frequency_ghz,model_id,dataset_scope,q_proxy,feature,unit,target,actual_emx,frozen_grid_proxy,emx_minus_target,emx_minus_frozen_proxy,target_absolute_relative_percent,proxy_absolute_relative_percent,strict_valid,strict_joint_hit,evidence_role
qscan15_development5k_20260908_v1-HELDOUT_TRIPLE_AUDIT-000001,15,f15-5a9547401a37,DEVELOPMENT_5K_NOT_FORMAL_10K,11,Lp_nH,nH,1.9149737538004767,1.9059925004729652,1.9222215414047241,-0.00898125332751154,-0.01622904093175892,0.4690013797675948,0.8442856654233016,true,true,STRICT_VALID_FINITE_PRESELECTED_EXAMPLE
qscan15_development5k_20260908_v1-HELDOUT_TRIPLE_AUDIT-000001,15,f15-5a9547401a37,DEVELOPMENT_5K_NOT_FORMAL_10K,11,Ls_nH,nH,0.9153405591370323,0.9249765764596303,0.9200878143310547,0.009636017322598,0.0048887621285755856,1.0527248275420764,0.5313364716312362,true,true,STRICT_VALID_FINITE_PRESELECTED_EXAMPLE
qscan15_development5k_20260908_v1-HELDOUT_TRIPLE_AUDIT-000001,15,f15-5a9547401a37,DEVELOPMENT_5K_NOT_FORMAL_10K,11,Qmin,dimensionless,11,11.079368957277527,10.998437881469727,0.07936895727752713,0.08093107580780057,0.7215359752502466,0.7358415502273647,true,true,STRICT_VALID_FINITE_PRESELECTED_EXAMPLE
qscan15_development5k_20260908_v1-HELDOUT_TRIPLE_AUDIT-000001,15,f15-5a9547401a37,DEVELOPMENT_5K_NOT_FORMAL_10K,11,K_abs,dimensionless,0.14055939083207117,0.13845588996336425,0.14111316204071045,-0.00210350086870692,-0.002657272077346201,1.4965210479746676,1.883078827600498,true,true,STRICT_VALID_FINITE_PRESELECTED_EXAMPLE
f05_qscan-HELDOUT_TRIPLE_AUDIT-000001,5,f5-fac1f3ff42e4,FORMAL_10K,10,Lp_nH,nH,1.2473342032134687,1.245771957497394,1.2481099367141724,-0.0015622457160746617,-0.002337979216778363,0.12524676322110756,0.1873215770506104,true,true,STRICT_VALID_FINITE_PRESELECTED_EXAMPLE
f05_qscan-HELDOUT_TRIPLE_AUDIT-000001,5,f5-fac1f3ff42e4,FORMAL_10K,10,Ls_nH,nH,1.097127918881902,1.0972885277783002,1.0992622375488281,0.00016060889639812892,-0.0019737097705279094,0.014639031022180862,0.1795485829595087,true,true,STRICT_VALID_FINITE_PRESELECTED_EXAMPLE
f05_qscan-HELDOUT_TRIPLE_AUDIT-000001,5,f5-fac1f3ff42e4,FORMAL_10K,10,Qmin,dimensionless,10,9.917584550523848,9.980047225952148,-0.08241544947615154,-0.062462675428299974,0.8241544947615154,0.6258755496253747,true,true,STRICT_VALID_FINITE_PRESELECTED_EXAMPLE
f05_qscan-HELDOUT_TRIPLE_AUDIT-000001,5,f5-fac1f3ff42e4,FORMAL_10K,10,K_abs,dimensionless,0.286206575654449,0.2858884107960652,0.28708332777023315,-0.00031816485838381814,-0.0011949169741679588,0.11116615949731144,0.41622653027218265,true,true,STRICT_VALID_FINITE_PRESELECTED_EXAMPLE
f10_qscan-HELDOUT_TRIPLE_AUDIT-000001,10,f10-d26d41688df1,FORMAL_10K,12,Lp_nH,nH,1.3301802169600963,1.3342792149467726,1.3310723304748535,0.004098997986676345,0.0032068844719190803,0.30815358207957094,0.24092488428296305,true,true,STRICT_VALID_FINITE_PRESELECTED_EXAMPLE
f10_qscan-HELDOUT_TRIPLE_AUDIT-000001,10,f10-d26d41688df1,FORMAL_10K,12,Ls_nH,nH,1.5466333040257445,1.5485802443634002,1.5451890230178833,0.0019469403376557448,0.003391221345516948,0.1258824785802839,0.21946967620140154,true,true,STRICT_VALID_FINITE_PRESELECTED_EXAMPLE
